,freq,MAP,expected_Cnet_eller
0,0.1,500,2.289114210530937e-05
1,0.15000000000000002,500,2.5416777897864486e-05
2,0.20000000000000004,500,2.6919755354296734e-05
3,0.25000000000000006,500,2.7924764662602123e-05
4,0.30000000000000004,500,2.8643690461752277e-05
5,0.3500000000000001,500,2.9183642811131437e-05
6,0.40000000000000013,500,2.9603959389107953e-05
7,0.45000000000000007,500,2.9940224430426888e-05
8,0.1,600,2.4377628982243087e-05
9,0.15000000000000002,600,2.7195072322227562e-05
10,0.20000000000000004,600,2.8852072875075218e-05
11,0.25000000000000006,600,2.9934089482579026e-05
12,0.30000000000000004,600,3.068572552953553e-05
13,0.3500000000000001,600,3.1231201399377915e-05
14,0.40000000000000013,600,3.163988558533038e-05
15,0.45000000000000007,600,3.1948434501272154e-05
16,0.1,700,2.540466187536765e-05
17,0.15000000000000002,700,2.834437051369205e-05
18,0.20000000000000004,700,3.001123597077724e-05
19,0.25000000000000006,700,3.1023876738235706e-05
20,0.30000000000000004,700,3.1720962611661125e-05
21,0.3500000000000001,700,3.218047104723864e-05
22,0.40000000000000013,700,3.250090058397867e-05
23,0.45000000000000007,700,3.27267261170621e-05
24,0.1,800,2.6145719977459065e-05
25,0.15000000000000002,800,2.9122138175152662e-05
26,0.20000000000000004,800,3.073849606631549e-05
27,0.25000000000000006,800,3.168767877466185e-05
28,0.30000000000000004,800,3.227191002007458e-05
29,0.3500000000000001,800,3.264288414830368e-05
30,0.40000000000000013,800,3.2883783525285014e-05
31,0.45000000000000007,800,3.304198507570181e-05
32,0.1,900,2.6700702973536968e-05
33,0.15000000000000002,900,2.9672174115851758e-05
34,0.20000000000000004,900,3.1220006387513466e-05
35,0.25000000000000006,900,3.2084176959787745e-05
36,0.30000000000000004,900,3.258698161125606e-05
37,0.3500000000000001,900,3.288771707835256e-05
38,0.40000000000000013,900,3.3071343488353824e-05
39,0.45000000000000007,900,3.31854027720954e-05
40,0.1,1000,2.7129453349683278e-05
41,0.15000000000000002,1000,3.0076392739072297e-05
42,0.20000000000000004,1000,3.155427185734598e-05
43,0.25000000000000006,1000,3.2343142408892775e-05
44,0.30000000000000004,1000,3.278019818945596e-05
45,0.3500000000000001,1000,3.3028626411680234e-05
46,0.40000000000000013,1000,3.317274209178711e-05
47,0.45000000000000007,1000,3.3257894621662175e-05
48,0.1,1100,2.7469365366037142e-05
49,0.15000000000000002,1100,3.0383279061261895e-05
50,0.20000000000000004,1100,3.179595303038831e-05
51,0.25000000000000006,1100,3.2520963412625413e-05
52,0.30000000000000004,1100,3.290608731728925e-05
53,0.3500000000000001,1100,3.3115791047673157e-05
54,0.40000000000000013,1100,3.323240565538413e-05
55,0.45000000000000007,1100,3.3298595783053065e-05
56,0.1,1200,2.774474559506386e-05
57,0.15000000000000002,1200,3.0622740440137805e-05
58,0.20000000000000004,1200,3.197679228067854e-05
59,0.25000000000000006,1200,3.2648321762329417e-05
60,0.30000000000000004,1200,3.2992378882402555e-05
61,0.3500000000000001,1200,3.317304248080353e-05
62,0.40000000000000013,1200,3.327004908328242e-05
63,0.45000000000000007,1200,3.332335458836882e-05
64,0.1,1300,2.7971959330032616e-05
65,0.15000000000000002,1300,3.081395852734861e-05
66,0.20000000000000004,1300,3.2116067680435734e-05
67,0.25000000000000006,1300,3.274281187274057e-05
68,0.30000000000000004,1300,3.3054074757721436e-05
69,0.3500000000000001,1300,3.321255115415976e-05
70,0.40000000000000013,1300,3.329519193747038e-05
71,0.45000000000000007,1300,3.333942438029565e-05
72,0.1,1400,2.8162371217301157e-05
73,0.15000000000000002,1400,3.096967673405734e-05
74,0.20000000000000004,1400,3.222597775534354e-05
75,0.25000000000000006,1400,3.281502107175594e-05
76,0.30000000000000004,1400,3.309976130873893e-05
77,0.3500000000000001,1400,3.324095167750054e-05
78,0.40000000000000013,1400,3.331278792640145e-05
79,0.45000000000000007,1400,3.3350418549977484e-05
80,0.1,1500,2.8324089977912486e-05
81,0.15000000000000002,1500,3.109862991261277e-05
82,0.20000000000000004,1500,3.2314528728876846e-05
83,0.25000000000000006,1500,3.287159851705724e-05
84,0.30000000000000004,1500,3.313460280647597e-05
85,0.3500000000000001,1500,3.3262072395192625e-05
86,0.40000000000000013,1500,3.332558622952823e-05
87,0.45000000000000007,1500,3.335827179480283e-05
88,0.1,1600,2.8463040323966376e-05
89,0.15000000000000002,1600,3.120697269504428e-05
90,0.20000000000000004,1600,3.238714753670032e-05
91,0.25000000000000006,1600,3.291687973273512e-05
92,0.30000000000000004,1600,3.316184230952863e-05
93,0.3500000000000001,1600,3.327823335955337e-05
94,0.40000000000000013,1600,3.333519884253719e-05
95,0.45000000000000007,1600,3.336408522656638e-05
96,0.1,1700,2.858364269973114e-05
97,0.15000000000000002,1700,3.1299148506003006e-05
98,0.20000000000000004,1700,3.244761871296482e-05
99,0.25000000000000006,1700,3.295378604764208e-05
100,0.30000000000000004,1700,3.318359423521946e-05
101,0.3500000000000001,1700,3.329090127303518e-05
102,0.40000000000000013,1700,3.334261651294333e-05
103,0.45000000000000007,1700,3.336851889185116e-05
104,0.1,1800,2.8689256791291098e-05
105,0.15000000000000002,1800,3.137843515538895e-05
106,0.20000000000000004,1800,3.249864834931081e-05
107,0.25000000000000006,1800,3.2984343401136806e-05
108,0.30000000000000004,1800,3.320128293662216e-05
109,0.3500000000000001,1800,3.330103790607124e-05
110,0.40000000000000013,1800,3.334847330548684e-05
111,0.45000000000000007,1800,3.337198637521925e-05
112,0.1,1900,2.8782478407319067e-05
