,freq,MAP,expected_Cnet_eller,expected_Cnet_dynfb,a,b,c
0,0.1,500,2.289114210530937e-05,2.7201496105043242e-05,0.17213671108587053,0.6484634676437393,-0.4997123962662081
1,0.15000000000000002,500,2.5416777897864486e-05,2.8921576271632216e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
2,0.20000000000000004,500,2.6919755354296734e-05,3.0174939081859986e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
3,0.25000000000000006,500,2.7924764662602123e-05,3.1044292071512554e-05,0.23434090481119788,0.5826220449613049,-0.35139071311217085
4,0.30000000000000004,500,2.8643690461752277e-05,3.14562882156788e-05,0.22599974572642656,0.8339397929042223,-0.19307354183904069
5,0.3500000000000001,500,2.9183642811131437e-05,3.1759775702352576e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
6,0.40000000000000013,500,2.9603959389107953e-05,3.200314672604069e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
7,0.45000000000000007,500,2.9940224430426888e-05,3.2182623359155775e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
8,0.1,600,2.4377628982243087e-05,2.8240013855714885e-05,0.21879562772966857,0.633411569160561,-0.19507902981797598
9,0.15000000000000002,600,2.7195072322227562e-05,2.990831786857702e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
10,0.20000000000000004,600,2.8852072875075218e-05,3.109062986824628e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
11,0.25000000000000006,600,2.9934089482579026e-05,3.1756478886932434e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
12,0.30000000000000004,600,3.068572552953553e-05,3.216040970846726e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
13,0.3500000000000001,600,3.1231201399377915e-05,3.2460815142678865e-05,0.2735855397321342,0.5418822984592616,-0.3236807398110899
14,0.40000000000000013,600,3.163988558533038e-05,3.259100618971284e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
15,0.45000000000000007,600,3.1948434501272154e-05,3.276905610878407e-05,0.32015315010585266,0.48011993323641056,-0.11956334988845163
16,0.1,700,2.540466187536765e-05,2.8221940074119724e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
17,0.15000000000000002,700,2.834437051369205e-05,3.06552746295757e-05,0.24005418860244077,0.5798039093253873,-0.24622317065322785
18,0.20000000000000004,700,3.001123597077724e-05,3.1604187741746483e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
19,0.25000000000000006,700,3.1023876738235706e-05,3.219456556844492e-05,0.25606917848878374,0.7482521290646525,-0.2876660001369379
20,0.30000000000000004,700,3.1720962611661125e-05,3.250333374398006e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
21,0.3500000000000001,700,3.218047104723864e-05,3.277836796887421e-05,0.25606917848878374,0.7482521290646525,-0.2876660001369379
22,0.40000000000000013,700,3.250090058397867e-05,3.291923712523042e-05,0.25606917848878374,0.7482521290646525,-0.2876660001369379
23,0.45000000000000007,700,3.27267261170621e-05,3.303645491919979e-05,0.2908480656272221,0.5004179726713736,-0.15642669345487414
24,0.1,800,2.6145719977459065e-05,2.9002820407257657e-05,0.24818731119291826,0.6790797363711125,-0.1281163392405037
25,0.15000000000000002,800,2.9122138175152662e-05,3.091343406464189e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
26,0.20000000000000004,800,3.073849606631549e-05,3.1916463766946535e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
27,0.25000000000000006,800,3.168767877466185e-05,3.241522294773435e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
28,0.30000000000000004,800,3.227191002007458e-05,3.268132809099141e-05,0.24544101154293596,0.7413894935869249,-0.3031928090562903
29,0.3500000000000001,800,3.264288414830368e-05,3.288682827289049e-05,0.27853647138546994,0.9442440330969334,-0.29427965272275525
