,net_gain,PLC,s,pl
0,1.653313880436294e-05,0.0,0.3,0.0
1,1.6405677583134796e-05,0.005955900485253407,0.2920395097847237,-0.15490612540926513
2,1.6268132619620442e-05,0.006401574060137083,0.2841567534228503,-0.15950926799378035
3,1.6119547950195437e-05,0.006921004190698965,0.2763568886960454,-0.16464246369424576
4,1.595886568071908e-05,0.007529204320408267,0.26864540759478733,-0.17037325735796285
5,1.5784914077071372e-05,0.008244732586202397,0.2610281443565824,-0.17677806993875492
6,1.55963942116879e-05,0.009090608974589798,0.25351127949902197,-0.18394325664061148
7,1.5391865110159655e-05,0.010095476966990091,0.24610133863098602,-0.19196623453154293
8,1.5169727483345132e-05,0.01129507071128022,0.23880518464211714,-0.20095666151787808
9,1.4928206406245955e-05,0.012734059556404276,0.2316300017005942,-0.21103763837801115
10,1.4665333801853305e-05,0.014468351056910467,0.22458326935231548,-0.2223468926922379
11,1.4378932432805592e-05,0.0165679380937771,0.21767272493770592,-0.23503788782182308
12,1.4066604468332448e-05,0.01912037011071155,0.21090631255926742,-0.24928078170319776
13,1.372572979012898e-05,0.02223490388766436,0.20429211698340624,-0.26526313967269843
14,1.3353482242446092e-05,0.026047332568362447,0.19783828118693925,-0.28319028397089596
15,1.2946876138343237e-05,0.030725384220920415,0.19155290680313958,-0.30328514193763156
16,1.2502860331875953e-05,0.03647439909256567,0.18544393751580765,-0.32578743809450583
17,1.20184822439594e-05,0.04354271128615994,0.17951902650424018,-0.3509520662176565
18,1.1491147449776532e-05,0.05222575436439558,0.17378539033659626,-0.3790464808948003
19,1.0918998228947262e-05,0.06286738164876537,0.16824965317959895,-0.4103469691136049
20,1.0301421544763296e-05,0.0758562913767139,0.16291768672240386,-0.44513370602082303
21,9.639667336948497e-06,0.09161491545171907,0.15779445263351724,-0.48368456835422957
22,8.937508635183579e-06,0.1105779397382406,0.15288385547387728,-0.5262677745723852
23,8.201811459659007e-06,0.13315818346933128,0.14818861455588347,-0.5731335382125222
24,7.442825599114646e-06,0.15969934289376253,0.14371016307398968,-0.624505050945811
25,6.673993590408902e-06,0.19041839465342159,0.13944858181868555,-0.680569239064066
26,5.911142689503291e-06,0.22534499759083704,0.13540257292033428,-0.7414678424631809
27,5.171083786874267e-06,0.2642698373526644,0.13156947649112982,-0.807289428092073
28,4.469847444081822e-06,0.3067163995138219,0.12794533001555297,-0.8780629527536977
29,3.8209462391226815e-06,0.3519488243671953,0.12452496724963508,-0.9537534229590326
