,net_gain,PLC,s,pl
0,3.5875565183606436e-05,0.0,0.3,0.0
1,3.5262029325739905e-05,0.20169864126155268,0.24958759472481995,-0.7005024751748377
2,3.383034513636383e-05,0.22124344962833886,0.20078753026089574,-0.7344296371684103
3,2.9929122281544087e-05,0.26781889201499953,0.1553134206842011,-0.8132286733517555
4,1.9386877928003848e-05,0.39569814698766237,0.11678574307807305,-1.0284879191698535
5,6.262883399917484e-06,0.6902957720952201,0.09007544061879026,-1.6855422991920386
6,1.5873534648726625e-06,0.9230151015329323,0.07476841360345958,-3.3222207701664273
7,5.074790920257027e-07,0.9798948208148741,0.06571346765107804,-5.848689213983497
8,2.0504165347541585e-07,0.9925433604893374,0.05971027980585448,-8.770558387148768
9,9.792493417703853e-08,0.9964604193508037,0.05536137023942317,-11.863632118871624
10,5.264101980547514e-08,0.998036304351372,0.05201398678041825,-15.055212177083913
11,3.085878514138775e-08,0.9987916304383679,0.04932622686006705,-18.317345897746165
12,1.931886392507812e-08,0.999200102726137,0.04710060229842414,-21.63662520737669
13,1.273272413695394e-08,0.9994411253721872,0.04521418264502664,-25.005280847821975
14,8.745596662690784e-09,0.9995929914566726,0.043585877968704584,-28.4181315597148
15,6.213762665567733e-09,0.9996936982575969,0.04215968980694661,-31.871370106018574
16,4.5413242865682395e-09,0.9997632667869739,0.04089549185027791,-35.3620107879196
17,3.399344668985979e-09,0.999812959165205,0.039763645477136324,-38.88760729609854
18,2.5972561577047e-09,0.9998494567994759,0.038741697154372395,-42.44609380893405
19,2.0200280863381327e-09,0.9998769026990216,0.03781226613739573,-46.0357280210379
20,1.5957362738275577e-09,0.999897962144861,0.03696165561887304,-49.65483429865782
21,1.2780054796628496e-09,0.9999144069810306,0.03617888938651896,-53.30213138328682
22,1.0361226292215265e-09,0.99992744637528,0.03545505387321424,-56.97634396086844
23,8.492579459518644e-10,0.9999379261786769,0.034782819782369474,-60.67634979719884
24,7.029827694986264e-10,0.9999464506115401,0.0341560944156726,-64.401128701299
25,5.871113445082911e-10,0.9999534594546683,0.03356976339873158,-68.1497480502624
26,4.943293531466666e-10,0.999959278207274,0.033019495762515096,-71.92135113800629
27,4.1930258298131915e-10,0.9999641514384405,0.03250159473504207,-75.71514764545185
28,3.5808573901420926e-10,0.9999682654266668,0.032012882048264184,-79.53040573993452
29,3.0772301370243175e-10,0.9999717638174059,0.03155060718006296,-83.36644544980999
